journal,publisher,society,article_type,unsolicited,abstract_format,abstract_words,body_words,references_max,figures_tables_max,structured_body,reporting_guideline,trial_registration,apc_usd,oa_model,reference_style,photoprotection_fit,submission_portal,guidelines_url,guidelines_last_checked,notes
"Photodermatology, Photoimmunology & Photomedicine",Wiley,European Society for Photodermatology,Original Article,yes,structured,250,TBD,TBD,TBD,yes,STROBE (obs) / CONSORT (RCT),required for trials,TBD,hybrid,Vancouver (superscript) - verify,5,ScholarOne Manuscripts,https://onlinelibrary.wiley.com/page/journal/16000781/homepage/forauthors.html,2026-09-05,"Abstract structured Background/purpose, Methods, Results, Conclusion (<=250 w). No firm main-text word cap stated - verify. Niche home journal for photoprotection."
"Photodermatology, Photoimmunology & Photomedicine",Wiley,European Society for Photodermatology,Review,check with editor,unstructured,TBD,TBD,TBD,TBD,no,PRISMA if systematic; register PROSPERO,n/a,TBD,hybrid,Vancouver (superscript) - verify,5,ScholarOne Manuscripts,https://onlinelibrary.wiley.com/page/journal/16000781/homepage/forauthors.html,2026-09-05,Pre-pitch narrative reviews. Invited Commentary/Editorial = 2000 w incl abstract + legends, excl refs.
"Photodermatology, Photoimmunology & Photomedicine",Wiley,European Society for Photodermatology,Letter to the Editor,yes,none,0,1000,10,2,no,CARE (if case),n/a,TBD,hybrid,Vancouver (superscript) - verify,5,ScholarOne Manuscripts,https://onlinelibrary.wiley.com/page/journal/16000781/homepage/forauthors.html,2026-09-05,"Letter <=1000 words INCLUDING references; <=10 refs; <=2 figures+tables total. Good for photoallergy / photodermatoses cases."
"Journal of the American Academy of Dermatology",Elsevier,American Academy of Dermatology,Original Article,yes,structured or unstructured,200,2500,TBD,no limit,yes,STROBE (obs) / CONSORT (RCT),required for trials,TBD,hybrid,AMA (JAAD style),5,Editorial Manager,https://www.jaad.org/content/authorinfo,2026-09-05,"Body <=2500 w excluding abstract/refs/figures/tables. Abstract <=200 w. Capsule Summary (3 bullets) required. No figure/table limit."
"Journal of the American Academy of Dermatology",Elsevier,American Academy of Dermatology,Review / CME,mostly invited,unstructured,TBD,TBD,TBD,TBD,no,PRISMA if systematic,n/a,TBD,hybrid,AMA (JAAD style),5,Editorial Manager,https://www.jaad.org/content/authorinfo,2026-09-05,CME reviews solicited - pitch the editor. Systematic reviews may be submitted unsolicited (verify caps).
"Journal of the American Academy of Dermatology",Elsevier,American Academy of Dermatology,Letter (Notes & Comments / Research Letter),yes,none,TBD,TBD,TBD,TBD,no,per underlying study type,as applicable,TBD,hybrid,AMA (JAAD style),5,Editorial Manager,https://www.jaad.org/content/authorinfo,2026-09-05,Fast route for small datasets and focused observations. Verify exact word/reference caps.
"JAAD International",Elsevier,American Academy of Dermatology,Original Article,yes,structured,TBD,2500,TBD,TBD,yes,STROBE / CONSORT,required for trials,TBD,gold OA,AMA (JAAD style),4,Editorial Manager,https://www.sciencedirect.com/journal/jaad-international/publish/guide-for-authors,,Open-access sister journal; ~2500 w cap like JAAD. Global-health / population angle welcome.
"JAAD International",Elsevier,American Academy of Dermatology,Review,check with editor,unstructured,TBD,TBD,TBD,TBD,no,PRISMA if systematic,n/a,TBD,gold OA,AMA (JAAD style),4,Editorial Manager,https://www.sciencedirect.com/journal/jaad-international/publish/guide-for-authors,,
"JAAD Case Reports",Elsevier,American Academy of Dermatology,Case Report,yes,unstructured,TBD,TBD,TBD,TBD,no,CARE,n/a,TBD,gold OA,AMA (JAAD style),4,Editorial Manager,https://www.sciencedirect.com/journal/jaad-case-reports/publish/guide-for-authors,,Indexed case-report outlet; good for teaching images with photoprotection relevance.
"JAMA Dermatology",American Medical Association,n/a,Original Investigation,yes,structured,350,3000,75,5,yes,CONSORT / STROBE / STARD (EQUATOR),required for trials,TBD,hybrid,AMA 11th ed,5,manuscripts.jamaderm.com,https://jamanetwork.com/journals/jamadermatology/pages/instructions-for-authors,2026-09-05,"Refs 50-75. Figs+tables <=5. .docx only, double-spaced. Data Sharing Statement required. Title <=100 chars."
